,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,pIC50,MW,logP,numHd,numHa
4249,CHEMBL1085527,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,21.8,active,7.661543506395395,544.6920000000003,7.296000000000008,1,6
4250,CHEMBL1085526,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,11.7,active,7.931814138253839,530.6650000000003,6.905900000000008,1,6
4251,CHEMBL372710,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2ccc(Cl)c(Cl)c2)C3=O)c1,8.0,active,8.096910013008056,597.5390000000002,7.7891000000000075,1,6
4252,CHEMBL131219,CCCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,4.0,active,8.397940008672037,474.55700000000024,5.345500000000005,1,6
4253,CHEMBL128390,CCCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1,42.0,active,7.376750709602099,531.6530000000005,6.3009000000000075,1,7
4254,CHEMBL2236394,CCN(CCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,0.82,active,9.086186147616283,488.5840000000003,5.735600000000005,1,6
4255,CHEMBL191461,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1,1.8,active,8.744727494896694,616.7550000000002,6.714300000000009,1,8
4256,CHEMBL340625,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,5.7,active,8.244125144327509,396.44300000000004,3.4121000000000024,1,6
4257,CHEMBL128202,CCN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NC)c1,0.56,active,9.2518119729938,460.53000000000026,4.955400000000004,1,6
4258,CHEMBL128260,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)Nc2ccccc2)c1,2.8,active,8.55284196865778,508.57400000000024,6.4580000000000055,1,6
4259,CHEMBL2236393,CNCOc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.32,active,9.494850021680094,488.62800000000016,5.963200000000007,1,6
4260,CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,active,9.522878745280337,446.5030000000001,4.565300000000004,1,6
4261,CHEMBL2234537,CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1[C@H]2c1ccncc1)CCCC3,602.56,active,6.219999701663429,374.48800000000017,4.138200000000003,2,5
4262,CHEMBL2234536,COc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3nc4c(c(N)c32)CCCC4)cc1,218.78,active,6.659992382003327,403.52600000000024,4.751800000000004,2,5
4263,CHEMBL2234535,Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Nc3nc4c(c(N)c32)CCCC4)cc1,229.09,active,6.639993867770902,387.52700000000027,5.051620000000003,2,4
4264,CHEMBL2234534,CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,537.03,active,6.270001452716577,391.4900000000002,4.882300000000003,2,4
4265,CHEMBL2234533,CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1[C@H]2c1ccccc1)CCCC3,323.59,active,6.490004907986601,373.50000000000017,4.743200000000003,2,4
4266,CHEMBL490359,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(OC)cc1)CCCC3,44.67,active,7.349984047528161,393.48700000000025,3.945700000000003,2,6
4267,CHEMBL2234532,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCC3,61.66,active,7.209996479609511,393.48700000000025,3.945700000000003,2,6
4268,CHEMBL2234531,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@@H]1c1ccccc1OC)CCCC3,158.49,active,6.799998134593398,393.48700000000025,3.945700000000003,2,6
4269,CHEMBL2234530,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(C)cc1)CCCC3,91.2,active,7.0400051616715835,377.4880000000002,4.2455200000000035,2,5
4270,CHEMBL2234529,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc([N+](=O)[O-])cc1)CCCC3,602.56,active,6.219999701663429,408.45800000000025,3.8453000000000026,2,7
4271,CHEMBL2234528,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1cccc([N+](=O)[O-])c1)CCCC3,109.65,active,6.959991363986458,408.45800000000025,3.8453000000000026,2,7
4272,CHEMBL2234527,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccccc1[N+](=O)[O-])CCCC3,302.0,active,6.519993057042849,408.45800000000025,3.8453000000000026,2,7
4273,CHEMBL2234526,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(F)cc1)CCCC3,52.48,active,7.280006173632396,381.4510000000002,4.076200000000003,2,5
4274,CHEMBL2234525,CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccccc1)CCCC3,79.43,active,7.100015437450609,363.4610000000002,3.9371000000000027,2,5
4275,CHEMBL2234524,COc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1,40738.03,inactive,4.389999976337708,404.5100000000002,4.718700000000004,1,5
4276,CHEMBL2234523,COc1cccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)c1,21379.62,inactive,4.6700000181810175,404.5100000000002,4.718700000000004,1,5
4278,CHEMBL2234521,Cc1ccc([C@H]2C3=C(CC(C)(C)CC3=O)Oc3nc4c(c(N)c32)CCCC4)cc1,51286.14,inactive,4.28999998644378,388.51100000000025,5.018520000000004,1,4
4279,CHEMBL2234520,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccc([N+](=O)[O-])cc1)CCCC3,93325.43,inactive,4.030000000370884,419.4810000000002,4.618300000000003,1,6
4280,CHEMBL2234519,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1cccc([N+](=O)[O-])c1)CCCC3,12022.64,inactive,4.920000156997057,419.4810000000002,4.618300000000003,1,6
4281,CHEMBL2234518,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccccc1C(F)(F)F)CCCC3,17782.79,inactive,4.750000100140428,442.48100000000017,5.728900000000005,1,4
4282,CHEMBL2234517,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccc(F)cc1)CCCC3,69183.1,inactive,4.159999981744464,392.47400000000016,4.849200000000003,1,4
4283,CHEMBL2234516,CC1(C)CC(=O)C2=C(C1)Oc1nc3c(c(N)c1[C@H]2c1ccccc1)CCCC3,48977.88,inactive,4.3100000171743025,374.48400000000015,4.710100000000003,1,4
4293,CHEMBL2234841,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCCCC3,33113.11,inactive,4.480000028175458,438.52400000000034,4.311300000000004,1,7
4294,CHEMBL2234840,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccccc1OC)CCCCC3,20892.96,inactive,4.68000002720016,408.4980000000003,4.302700000000004,1,6
4295,CHEMBL2234839,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCCCC3,12882.5,inactive,4.889999848866887,408.4980000000003,4.302700000000004,1,6
4298,CHEMBL2234836,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)c(OC)c1)CCC3,26915.35,inactive,4.569999968362492,410.47000000000025,3.531100000000002,1,7
4299,CHEMBL2234835,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccc(OC)c1)CCC3,23988.33,inactive,4.619999985338959,380.4440000000002,3.5225000000000026,1,6
4300,CHEMBL2234834,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCCCC3,14454.4,inactive,4.8399999311187,384.5010000000002,4.3556000000000035,1,6
4301,CHEMBL2234833,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccnc1)CCCCC3,32359.37,inactive,4.489999942195333,379.4600000000002,3.6891000000000025,1,6
4304,CHEMBL2234830,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCCC3,24547.09,inactive,4.609999985082743,370.47400000000016,3.9655000000000022,1,6
4307,CHEMBL2234546,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccc(OC)cc1)CCCC3,870.96,active,6.060001790087838,394.47100000000023,3.912600000000003,1,6
4308,CHEMBL2234545,CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCC3,27542.29,inactive,4.559999953221535,356.4470000000001,3.575400000000002,1,6
4312,CHEMBL398250,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(OC)cc1)CCC3,13803.84,inactive,4.860000083248981,377.4440000000002,3.8614200000000025,1,6
4313,CHEMBL253602,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCC3,20892.96,inactive,4.68000002720016,375.4720000000002,4.633020000000004,1,5
4314,CHEMBL398249,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCC3,12022.64,inactive,4.920000156997057,347.4180000000001,3.852820000000002,1,5
4316,CHEMBL2234543,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(OC)cc1)CCCCCC3,16982.44,inactive,4.769999911123512,419.5250000000003,5.031720000000004,1,6
4317,CHEMBL2234542,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccccc1)CCCCCC3,16982.44,inactive,4.769999911123512,389.49900000000025,5.023120000000004,1,5
4318,CHEMBL2234541,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1cccc([N+](=O)[O-])c1)CCCCC3,14125.38,inactive,4.849999859991125,420.4690000000003,4.541220000000004,1,7
4319,CHEMBL2234540,CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(Cl)cc1)CCCCC3,19054.61,inactive,4.719999935717911,409.91700000000026,5.286420000000004,1,5
